City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
411,mnogovershinnyy,53.9353,139.9242,-23.46,96,99,1.91,RU,1675639730
412,peto,20.1333,-88.9167,24.26,77,44,2.6,MX,1675639730
413,mangrol,21.1167,70.1167,19.69,56,0,4.59,IN,1675639730
414,padang,-0.9492,100.3543,23.03,79,99,1.95,ID,1675639731
415,jining,35.405,116.5814,3.74,90,96,2.48,CN,1675639731
416,solnechnyy,50.7214,136.6319,-23.33,99,54,1.19,RU,1675639732
417,poltavka,54.3663,71.7632,-22.42,100,89,1.52,RU,1675639732
418,lillooet,50.6856,-121.942,7.47,93,89,1.6,CA,1675639732
419,methoni,36.8197,21.7049,4.92,58,23,4.38,GR,1675639733
420,palmer,42.1584,-72.3287,5.82,50,40,5.14,US,1675639643
421,grindavik,63.8424,-22.4338,4.26,60,75,19.55,IS,1675639733
422,lata,40.1629,-8.3327,8.37,75,0,2.13,PT,1675639734
423,jiquilisco,13.3167,-88.5833,29.11,52,3,2.43,SV,1675639734
424,winslow,35.0242,-110.6974,18.1,14,0,9.26,US,1675639481
425,marsh harbour,26.5412,-77.0636,24.0,79,67,9.19,BS,1675639735
426,rio gallegos,-51.6226,-69.2181,15.03,36,40,11.83,AR,1675639735
427,lakatoro,-16.0999,167.4164,29.38,74,100,6.21,VU,1675639736
428,ler,8.3018,30.1418,26.12,18,12,2.63,SS,1675639736
429,vestmannaeyjar,63.4427,-20.2734,6.33,76,100,15.7,IS,1675639737
430,itupiranga,-5.1347,-49.3267,25.18,92,99,1.31,BR,1675639737
431,inhambane,-23.865,35.3833,22.94,89,3,3.15,MZ,1675639737
432,havelock,34.8791,-76.9013,17.99,75,100,3.09,US,1675639536
433,thurso,58.5927,-3.5259,6.59,76,100,4.91,GB,1675639738
434,dukat,62.55,155.55,-37.72,99,74,1.97,RU,1675639738
435,bahia blanca,-38.7196,-62.2724,32.94,21,58,3.4,AR,1675639152
436,herzberg,51.6869,13.2202,-2.66,71,56,1.52,DE,1675639739
437,belyy yar,53.6039,91.3903,-23.97,79,40,0.0,RU,1675639739
438,slave lake,55.2834,-114.769,0.99,86,0,1.03,CA,1675639740
439,kuybyshevskiy zaton,55.1593,49.1701,-15.59,97,100,1.75,RU,1675639740
440,urusha,54.05,122.9,-32.14,100,98,0.9,RU,1675639741
441,lulea,65.5842,22.1547,-7.96,100,0,1.03,SE,1675639741
442,cordoba,-31.4135,-64.1811,28.47,54,0,3.6,AR,1675639577
443,ladario,-19.0047,-57.6017,26.03,64,57,0.27,BR,1675639742
444,tromso,69.6496,18.957,1.32,93,75,3.09,NO,1675639742
445,aykhal,66.0,111.5,-35.14,100,95,1.17,RU,1675639743
446,freeport,40.6576,-73.5832,6.81,80,0,3.09,US,1675639743
447,iqaluit,63.7506,-68.5145,-27.95,61,75,7.72,CA,1675639744
448,lundazi,-12.2929,33.1782,17.59,91,100,1.25,ZM,1675639744
449,puerto del rosario,28.5004,-13.8627,14.86,72,0,4.12,ES,1675639745
450,nishihara,26.1842,127.7558,18.03,100,100,3.6,JP,1675639745
451,burnie,-41.0667,145.9167,18.31,59,47,5.2,AU,1675639745
452,nhulunbuy,-12.2333,136.7667,29.34,74,75,3.09,AU,1675639746
453,georgiyevka,43.0369,74.7114,-2.98,93,100,1.0,KZ,1675639746
